mass [kg],skin thickness [mm],stringer thickness [mm],stringer cross-section area [mm2],frame cross-section area [mm2],stringer pitch [mm],frame pitch [mm],stringer/frame material,skin material,stress margin [%]
18.49672444000305,0.3,0.9000000000000001,10.0,20.0,220.00000000000003,449.99999999999994,AA2024-T3,AA2024-T3,1142.4656294467536
18.49672444000305,0.3,0.9000000000000001,10.0,20.0,220.00000000000003,499.99999999999994,AA2024-T3,AA2024-T3,1142.4656294467536
18.542680301465662,0.3,0.9000000000000001,10.0,20.0,260.0,399.99999999999994,AA2024-T3,AA2024-T3,942.0176017284231
18.542680301465662,0.3,0.8,10.0,20.0,260.0,399.99999999999994,AA2024-T3,AA2024-T3,942.0176017284231
18.577468092077822,0.3,0.9000000000000001,14.999999999999998,20.0,260.0,749.9999999999999,AA2024-T3,AA2024-T3,1194.7382591572496
18.577468092077822,0.3,0.8,14.999999999999998,20.0,260.0,700.0,AA2024-T3,AA2024-T3,1194.7382591572496
18.577468092077822,0.3,0.8,14.999999999999998,20.0,260.0,749.9999999999999,AA2024-T3,AA2024-T3,1194.7382591572496
18.577468092077822,0.3,0.9000000000000001,14.999999999999998,20.0,260.0,649.9999999999999,AA2024-T3,AA2024-T3,1194.7382591572496
18.577468092077822,0.3,0.9000000000000001,14.999999999999998,20.0,260.0,700.0,AA2024-T3,AA2024-T3,803.3383576190945
18.577468092077822,0.3,0.8,14.999999999999998,20.0,260.0,649.9999999999999,AA2024-T3,AA2024-T3,1194.7382591572496
18.623423953540435,0.3,0.9000000000000001,14.999999999999998,20.0,280.0,549.9999999999999,AA2024-T3,AA2024-T3,1092.8637277298133
18.623423953540435,0.3,0.8,14.999999999999998,20.0,280.0,549.9999999999999,AA2024-T3,AA2024-T3,1092.8637277298133
18.623423953540435,0.3,0.8,14.999999999999998,20.0,280.0,599.9999999999999,AA2024-T3,AA2024-T3,1092.8637277298133
18.623423953540435,0.3,0.9000000000000001,14.999999999999998,20.0,280.0,599.9999999999999,AA2024-T3,AA2024-T3,1092.8637277298133
18.62900798896566,0.3,0.8,10.0,20.0,240.00000000000003,399.99999999999994,AA2024-T3,AA2024-T3,1031.1028683215388
18.62900798896566,0.3,0.9000000000000001,10.0,20.0,240.00000000000003,399.99999999999994,AA2024-T3,AA2024-T3,1031.1028683215388
18.674963850428277,0.3,0.8,10.0,20.0,280.0,350.0,AA2024-T3,AA2024-T3,860.1174303111618
18.674963850428277,0.3,0.9000000000000001,10.0,20.0,280.0,350.0,AA2024-T3,AA2024-T3,860.1174303111618
18.706959623327823,0.3,0.9000000000000001,14.999999999999998,20.0,240.00000000000003,649.9999999999999,AA2024-T3,AA2024-T3,1301.387694031674
18.706959623327823,0.3,0.9000000000000001,14.999999999999998,20.0,240.00000000000003,700.0,AA2024-T3,AA2024-T3,880.4047342728092
18.706959623327823,0.3,0.8,14.999999999999998,20.0,240.00000000000003,749.9999999999999,AA2024-T3,AA2024-T3,1301.387694031674
18.706959623327823,0.3,0.8,14.999999999999998,20.0,240.00000000000003,649.9999999999999,AA2024-T3,AA2024-T3,1301.387694031674
18.706959623327823,0.3,0.8,14.999999999999998,20.0,240.00000000000003,700.0,AA2024-T3,AA2024-T3,1301.387694031674
18.706959623327823,0.3,0.9000000000000001,14.999999999999998,20.0,240.00000000000003,749.9999999999999,AA2024-T3,AA2024-T3,1301.387694031674
18.709751641040434,0.3,0.9000000000000001,10.0,20.0,180.00000000000003,599.9999999999999,AA2024-T3,AA2024-T3,1453.280546373275
18.709751641040434,0.3,0.8,10.0,20.0,180.00000000000003,599.9999999999999,AA2024-T3,AA2024-T3,1453.280546373275
18.709751641040434,0.3,0.8,10.0,20.0,180.00000000000003,549.9999999999999,AA2024-T3,AA2024-T3,1453.280546373275
18.709751641040434,0.3,0.9000000000000001,10.0,20.0,180.00000000000003,549.9999999999999,AA2024-T3,AA2024-T3,1453.280546373275
18.75012346707782,0.3,0.8,10.0,20.0,160.00000000000003,649.9999999999999,AA2024-T3,AA2024-T3,1674.763152784184
18.75012346707782,0.3,0.8,10.0,20.0,160.00000000000003,700.0,AA2024-T3,AA2024-T3,1674.763152784184
18.75012346707782,0.3,0.9000000000000001,10.0,20.0,160.00000000000003,749.9999999999999,AA2024-T3,AA2024-T3,1674.763152784184
18.75012346707782,0.3,0.8,10.0,20.0,160.00000000000003,749.9999999999999,AA2024-T3,AA2024-T3,1674.763152784184
18.75012346707782,0.3,0.9000000000000001,10.0,20.0,160.00000000000003,649.9999999999999,AA2024-T3,AA2024-T3,1674.763152784184
18.75012346707782,0.3,0.9000000000000001,10.0,20.0,160.00000000000003,700.0,AA2024-T3,AA2024-T3,1674.763152784184
18.75570750250305,0.3,0.8,10.0,20.0,200.0,499.99999999999994,AA2024-T3,AA2024-T3,1282.6679030350451
18.75570750250305,0.3,0.9000000000000001,10.0,20.0,200.0,499.99999999999994,AA2024-T3,AA2024-T3,1282.6679030350451
18.75570750250305,0.3,0.9000000000000001,10.0,20.0,200.0,449.99999999999994,AA2024-T3,AA2024-T3,1282.6679030350451
18.75570750250305,0.3,0.8,10.0,20.0,200.0,449.99999999999994,AA2024-T3,AA2024-T3,1282.6679030350451
18.801663363965663,0.3,0.9000000000000001,10.0,20.0,220.00000000000003,399.99999999999994,AA2024-T3,AA2024-T3,1142.4656294467536
18.801663363965663,0.3,0.8,10.0,20.0,220.00000000000003,399.99999999999994,AA2024-T3,AA2024-T3,1142.4656294467536
18.847619225428275,0.3,0.8,10.0,20.0,260.0,350.0,AA2024-T3,AA2024-T3,942.0176017284231
18.847619225428275,0.3,0.9000000000000001,10.0,20.0,260.0,350.0,AA2024-T3,AA2024-T3,942.0176017284231
18.882407016040435,0.3,0.8,14.999999999999998,20.0,260.0,599.9999999999999,AA2024-T3,AA2024-T3,1194.7382591572496
18.882407016040435,0.3,0.8,14.999999999999998,20.0,260.0,549.9999999999999,AA2024-T3,AA2024-T3,1194.7382591572496
